4K超高清,#genre#
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://39.135.55.105:6610/PLTV/88888888/224/3221226998/index.m3u8
CCTV4K,http://117.148.179.157/PLTV/88888888/224/3221233460/index.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.135.55.72:6610/PLTV/88888888/224/3221226825/index.m3u8
纯享4K,http://39.135.55.105:6610/PLTV/88888888/224/3221226825/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233404/index.m3u8
CCTV8K,http://117.148.179.146/PLTV/88888888/224/3221233413/index.m3u8
CCTV8K,http://117.148.179.157/PLTV/88888888/224/3221233404/index.m3u8
CCTV16 4K,http://39.135.55.105:6610/PLTV/88888888/224/3221226998/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
爱上4K,http://111.20.33.93/PLTV/88888893/224/3221226352/index.m3u8
欢笑剧场4K,http://111.20.33.70/PLTV/88888893/224/3221226582/index.m3u8
欢笑剧场4K,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
欢笑剧场4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230739/index.m3u8
北京IPTV4K,http://221.179.217.94/PLTV/88888888/224/3221226550/1.m3u8
北京IPTV4K,http://39.134.134.85/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/index.m3u8
河南卫视4K,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226344/index.m3u8
都市剧场4K,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
4K花园,http://180.122.80.193:8888/udp/239.49.8.205:6000
4K现场,http://180.122.80.193:8888/udp/239.49.8.222:6000
